system   D            wsystem.c:583  maybe_parent_dir                 [   0.00080] Also searching C:\Users\Marcin\Documents\SGD\lab\Maze2\
display  D   display_settings.c:357  _al_score_display_settings       [   0.05886] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.05888] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.05890] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.05892] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.05894] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.05895] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.05897] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.05899] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.05901] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.05903] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.05905] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.05907] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.05909] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.05911] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.05912] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.05914] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.05916] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.05918] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.05920] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.05922] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.05924] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.05926] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.05928] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.05929] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.05931] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.05933] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.05935] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.05937] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.05939] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.05941] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.05943] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.05945] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.05947] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.05948] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.05950] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.05952] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.05954] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.05956] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.05958] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.05961] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.05962] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.05964] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.05966] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.05968] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.05970] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.05972] Score is : 585
display  D   display_settings.c:357  _al_score_display_settings       [   0.05974] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05976] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05978] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05980] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05981] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05983] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05985] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05987] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05989] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05991] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05993] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05995] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05997] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05999] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06001] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06003] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06005] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06007] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06009] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06011] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06013] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06015] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06017] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06019] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06021] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06023] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06025] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06027] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06032] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06034] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06036] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06038] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06040] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06042] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06044] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06046] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06048] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06050] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06052] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06054] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06056] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06058] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06060] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06062] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06064] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.06066] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.06067] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.06069] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.06071] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.06073] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.06075] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.06077] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.06079] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.06081] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.06083] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.06084] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.06086] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.06088] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.06090] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.06092] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.06094] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.06096] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.06098] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.06100] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.06101] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.06103] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.06105] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.06107] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.06109] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.06111] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.06113] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.06115] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.06117] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.06119] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.06121] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.06122] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.06124] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.06126] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.06128] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.06130] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.06132] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.06134] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.06136] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.06137] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.06139] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.06141] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.06143] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.06145] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.06147] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.06149] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.06151] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.06153] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.06154] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.06156] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.06158] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.06160] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.06162] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.06164] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.06166] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.06168] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.06169] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.06171] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.06173] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.06175] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.06177] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.06179] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.06181] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.06183] Score is : 713
display  D   display_settings.c:357  _al_score_display_settings       [   0.06185] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06187] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06189] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06191] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06193] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06195] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06197] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06199] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06201] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06202] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06204] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06206] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06208] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06210] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06212] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06214] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06216] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06218] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06220] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06222] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06224] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06226] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06228] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06230] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06232] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06234] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06236] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06238] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06240] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06241] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06243] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06245] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06247] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06249] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06251] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06254] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06256] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06258] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06260] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06262] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06264] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06266] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06268] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06270] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06273] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06275] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06277] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06279] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06281] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06283] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06285] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06287] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06289] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06291] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06293] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06295] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06297] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06299] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06301] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06303] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06305] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06307] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.06309] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.06311] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.06313] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.06315] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.06317] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.06319] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.06321] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.06326] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.06329] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.06331] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.06333] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.06335] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.06337] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.06339] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.06341] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.06343] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.06345] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.06347] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.06349] Score is : 598
